Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Масляк,Гордій,Дмитрович,Чоловіча,25-03-1950,Інженер,хутір Белз,"набережна Скляний 3-й, буд. 98, Балаклія, 37732",+380 (55) 447-84-80,bevzmaksym@example.org
Лаба,Надія,Олександрівна,Жіноча,28-08-1962,Бізнесмен,місто Родинське,"шосе Щоголєва, буд. 856 кв. 240, Почаїв, 84294",+380 31 685-60-37,ydrobiazko@example.org
Михайличенко,Вадим,Романович,Чоловіча,06-01-1996,Кур'єр,місто Новогродівка,"сквер Суднобудівний, буд. 8, Гребінка, 89441",+380 (98) 888-78-12,avhustyn63@example.org
Оліфіренко,Богданна,Борисівна,Жіноча,01-11-1992,Акушер,село Українка,"парк Хаджибейський 1-й, буд. 2 кв. 7, Гірське, 09520",+380 (70) 322-54-76,adziuba@example.com
Тесленко,Ярослав,Павлович,Чоловіча,24-06-1944,Публіцист,село Хрестівка,"парк Творча, буд. 85 кв. 99, Трускавець, 07160",+380 10 105 28 82,khrystynazaichenko@example.com
Височан,Лілія,Володимирівна,Жіноча,07-01-1953,Гицель,хутір Світлодарськ,"парк Виноградна 2-га, буд. 4, Щастя, 54791",841 18 70,marko97@example.net
Данькевич,Ярина,Олександрівна,Жіноча,10-11-1940,Локсмайстер,місто Рубіжне,"узвіз Коцюбинського, буд. 712 кв. 240, Буринь, 98713",+380 (94) 232-14-62,havryloiurchenko@example.com
Христич,Альберт,Іванович,Чоловіча,28-11-2003,Електрик,село Бердянськ,"вулиця Решата Аметова, буд. 6 кв. 2, Краматорськ, 09067",+380 00 008-92-63,pylypenkoodarka@example.net
Тичина,Костянтин,Павлович,Чоловіча,25-04-2004,Зоолог,хутір Корюківка,"вулиця Розумовський 1-й, буд. 027, Кропивницький, 41789",+380 04 994 07 79,vasylhres@example.org
Андрусенко,Галина,Євгенівна,Жіноча,02-01-1963,Кінокритик,місто Дергачі,"площа Хімічний 1-й, буд. 6, Синельникове, 05175",038 485-87-47,albert20@example.net
Цушко,Давид,Степанович,Чоловіча,29-11-2002,Водій,хутір Рубіжне,"сквер Василя Кандинського 1-й, буд. 7 кв. 222, Сіверськ, 76512",061 87 32,tkybkalo@example.org
Романенко,Вадим,Володимирович,Чоловіча,06-09-1963,Письменник,місто Карлівка,"провулок Лінія 45-та, буд. 3 кв. 2, Ходорів, 82921",046 632-95-07,qbaranets@example.net
Христенко,Сергій,Олександрович,Чоловіча,09-02-1954,Бізнесмен,місто Кам'янське,"парк Красива, буд. 44, Канів, 37519",029 949-49-52,frantsshylo@example.net
Дубенко,Вадим,Миколайович,Чоловіча,04-06-2008,Прокурор,село Тростянець,"узвіз Чернігівська, буд. 64, Новоград-Волинський, 05436",+380 51 670-96-43,orestkybkalo@example.org
Данченко,Назар,Романович,Чоловіча,06-01-1965,Льотчик,місто Ясинувата,"набережна Восьмого березня 1-й, буд. 0 кв. 03, Гірник, 68710",425 69 76,zolifirenko@example.org
Власенко,Йосип,Михайлович,Чоловіча,23-06-1996,Музикант,місто Хоростків,"площа Любомира Гузара, буд. 1, Деражня, 76647",+380 06 550-71-46,shvaikakamilla@example.net
Дубас,Олег,Іванович,Чоловіча,28-12-2003,Електромонтер,село Голубівка,"набережна Мазепи Івана, буд. 2, Глиняни, 93167",+380 30 449-83-99,andriikorsun@example.net
Вергун,Любов,Олександрівна,Жіноча,05-12-2004,Локсмайстер,селище Моршин,"вулиця 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 25, Старий Самбір, 36366",639 94 91,alina60@example.org
Канівець,Орися,Андріївна,Жіноча,03-06-1987,Промисловець,хутір Маріуполь,"проспект Рішельєвська, буд. 0, Гайсин, 37357",525-44-60,kostiantynhuzii@example.com
Лукаш,Вʼячеслав,Романович,Чоловіча,12-01-1979,Фармацевт,селище Новояворівськ,"парк Соціальна, буд. 48 кв. 7, Решетилівка, 68469",+380 (46) 239-88-13,panas86@example.com
Масляк,Еріка,Василівна,Жіноча,28-06-1987,Няня,місто Бахмут,"площа Контрадмірала Остроградського, буд. 87 кв. 2, Черкаси, 66125",922-98-71,vitrukdan@example.com
Абраменко,Гаврило,Павлович,Чоловіча,07-01-1976,Астроном,селище Золоте,"провулок Басейний 2-й, буд. 06, Помічна, 58574",+380 64 275 57 23,frants20@example.net
Малишко,Данна,Борисівна,Жіноча,23-11-1942,Дипломат,село Мирноград,"парк Десята, буд. 79, Почаїв, 85513",+380 16 847-40-93,shutkomarko@example.net
Бевзенко,Віолетта,Євгенівна,Жіноча,19-10-1958,Епідеміолог,село Перемишляни,"провулок Студентський 2-й, буд. 90 кв. 56, Балаклія, 26417",+380 36 326-24-40,zaikaliubov@example.org
Проценко,Мартин,Борисович,Чоловіча,05-10-1989,Кінолог,місто Володимир-Волинський,"парк Хлібна гавань, буд. 37, Зміїв, 86022",003 867-79-43,vashchukdavyd@example.org
Чуприна,Анастасія,Миколаївна,Жіноча,01-11-1989,Епідеміолог,місто Бережани,"парк Розкидайлівська, буд. 554, Новгород-Сіверський, 15590",+380 (61) 796-13-03,dutkaorest@example.net
Товстуха,Федір,Андрійович,Чоловіча,20-12-1959,Нотаріус,село Хмельницький,"набережна Східний 2-й, буд. 04 кв. 1, Яворів, 30999",071 788 04 45,hermaniefymenko@example.net
Шведченко,Аарон,Іванович,Чоловіча,08-07-2003,Епідеміолог,село Любомль,"площа Трибуни героїв, буд. 61 кв. 1, Чугуїв, 74900",008 346 77 42,pavlo44@example.org
Перепелиця,Семен,Іванович,Чоловіча,06-02-1958,Архітектор,селище Кременець,"набережна Пастера, буд. 60 кв. 0, Стебник, 11582",955-78-96,ielyseiasaula@example.net
Забіла,Камілла,Юріївна,Жіноча,15-04-1962,Хореограф,хутір Світлодарськ,"набережна Маланова, буд. 4 кв. 741, Ромни, 43567",060 556 77 96,iosypbashtan@example.net
Москаль,Ада,Михайлівна,Жіноча,25-02-1958,Стоматолог,місто Кіцмань,"провулок Дніпровська, буд. 29 кв. 48, Харків, 02364",+380 (34) 642-24-38,ieshchenkomilena@example.org
Євдокименко,Соломон,Олександрович,Чоловіча,23-06-1979,Фрілансер,місто Ківерці,"парк Ігоря Бедзая, буд. 94 кв. 8, Монастирище, 57820",+380 04 372-27-73,zlatoslavashovkoplias@example.com
Ковалюк,Володимир,Сергійович,Чоловіча,03-06-1964,Електротехнік,селище Козятин,"набережна Восьмого березня 3-й, буд. 334, Торецьк, 64884",074 150 80 10,sriabets@example.net
Шухевич,Климент,Васильович,Чоловіча,18-08-1990,Лікар,місто Корюківка,"вулиця Єфімова, буд. 3, Сміла, 62201",037 728 55 06,whaivoronskyi@example.net
Фаренюк,Едуард,Іванович,Чоловіча,11-07-2003,Геофізик,село Володимир-Волинський,"сквер Фестивальний, буд. 777 кв. 67, Канів, 43598",+380 98 416-88-29,zabilalarysa@example.com
Царенко,Леопольд,Борисович,Чоловіча,22-08-1982,Електромонтер,хутір Новоукраїнка,"шосе Рибальський, буд. 214 кв. 173, Старобільськ, 17180",+380 62 826-17-95,mariiarak@example.com
Франчук,Дарина,Петрівна,Жіноча,13-01-1964,Громадський діяч,місто Золочів,"сквер Бандурний, буд. 286, Кам'янка-Бузька, 06377",+380 45 602 08 34,klymentfranchuk@example.com
Тимченко,Артем,Володимирович,Чоловіча,25-07-2001,Реставратор,місто Новояворівськ,"вулиця Джинестрівська, буд. 59, Бар, 91791",+380 48 896 72 31,hordii38@example.net
Швачко,Пріска,Олегівна,Жіноча,24-10-1966,Науковець,хутір Іллінці,"узвіз Хутірський, буд. 1, Рожище, 07803",+380 75 829-16-76,vsheremet@example.com
Вобла,Тетяна,Сергіївна,Жіноча,25-01-1965,Мінералог,хутір Біла Церква,"парк Михайла Грушевського, буд. 50 кв. 811, Рівне, 39604",+380 (39) 559-81-12,kolisnychenkovasyl@example.net
Даниленко,Андрій,Олександрович,Чоловіча,20-01-1971,Детектив,село Кіцмань,"вулиця Шкільний аеродром, буд. 28 кв. 5, Бровари, 33111",904 46 81,vashchukpanas@example.org
Дейсун,Богодар,Степанович,Чоловіча,15-02-1985,Режисер,місто Сарни,"провулок Іспанський, буд. 41 кв. 20, Брянка, 36699",662-82-75,pushkarrostyslav@example.org
Бевз,Світлана,Юріївна,Жіноча,01-09-1959,Ювелір,селище Вараш,"площа Шкіперська, буд. 139 кв. 473, Перещепине, 51806",882-04-48,aaron54@example.net
Дейнека,Марʼяна,Павлівна,Жіноча,20-04-1961,Музикант,хутір Белз,"парк Амбулаторний 2-й, буд. 623, Чугуїв, 91001",+380 20 476 23 78,alinafranchuk@example.net
Бандура,Соломія,Тарасівна,Жіноча,02-08-2002,Журналіст,хутір Слов'янськ,"парк Варненська, буд. 201, Багачеве, 90114",+380 98 545-91-49,andreikoerika@example.com
Салій,Опанас,Сергійович,Чоловіча,29-04-1957,Мінералог,хутір Дубно,"вулиця Травневий 1-й, буд. 8 кв. 9, Помічна, 31697",+380 (47) 137-04-50,okseniia55@example.com
Ящук,Ірена,Євгенівна,Жіноча,23-09-1979,Флорист,селище Львів,"парк Прокатна, буд. 21 кв. 99, Кагарлик, 83171",011 649-32-17,shukhevychdavyd@example.com
Малишко,Яків,Михайлович,Чоловіча,25-07-1966,Стоматолог,село Березне,"площа Балтський 6-й, буд. 503, Кам'янка (Черкаська область), 97328",+380 (88) 882-55-33,marusiaadamenko@example.org
Цимбалюк,Леон,Михайлович,Чоловіча,13-06-1968,Музикознавець,хутір Бережани,"провулок Прокатна, буд. 3 кв. 17, Львів, 32575",069 677 47 52,slazarenko@example.org
Власенко,Оксенія,Олегівна,Жіноча,10-04-1975,Астроном,місто Рені,"сквер Хвиляста, буд. 18 кв. 5, Нетішин, 78555",076 338-86-60,edytavasylashko@example.org
Верхола,Амвросій,Олегович,Чоловіча,25-11-1952,Золотар,село Буськ,"провулок Аграрна, буд. 68 кв. 184, Баштанка, 90001",+380 50 657-59-52,shvaikaedyta@example.org
Жайворон,Богданна,Сергіївна,Жіноча,12-03-1945,Каскадер,село Заводське,"площа Академіка Векслера, буд. 314 кв. 501, Южне, 26856",064 420 50 10,daniarema@example.org
Романець,Ігор,Євгенович,Чоловіча,13-08-1980,Художник,місто Попасна,"сквер Клинова, буд. 050 кв. 6, Дубно, 72769",+380 63 771 05 45,darahanvira@example.net
Юрченко,Ольга,Павлівна,Жіноча,21-03-1958,Географ,селище Монастирище,"площа Героїв прикордонників, буд. 3 кв. 5, Радехів, 04633",+380 78 432-32-29,havrylo67@example.com
Оробець,Емілія,Володимирівна,Жіноча,24-05-1946,Прокурор,місто Сватове,"парк Старобазарний, буд. 242, Зіньків, 18074",+380 57 092-18-75,avrelii50@example.net
Петрик,Мирон,Євгенович,Чоловіча,06-12-1944,Складальник,село Лозова,"провулок Розумовський 2-й, буд. 155, Яготин, 11035",015 284-21-09,nfilipenko@example.com
Бабариченко,Юстина,Юріївна,Жіноча,04-10-1958,Провізор,місто Богодухів,"провулок Полтавська, буд. 8, Київ, 39436",+380 22 323-82-79,hzinchuk@example.net
Величко,Любов,Володимирівна,Жіноча,04-06-1991,Шериф,хутір Хмельницький,"узвіз Аеродромний 1-й, буд. 0, Оріхів, 68929",+380 79 378-15-19,dupliialbert@example.net
Щорс,Євген,Васильович,Чоловіча,22-03-1970,Продюсер,селище Васильків,"сквер Економічний, буд. 60 кв. 50, Рудки, 81945",+380 (75) 706-69-37,martapelekh@example.org
Петлюра,Роксолана,Юріївна,Жіноча,29-05-1983,Каскадер,селище Жашків,"узвіз Академіка Липського, буд. 0, Судова Вишня, 38954",+380 36 708 97 09,valentyna80@example.net
Байдак,Теодор,Михайлович,Чоловіча,18-01-1954,Ювелір,селище Кролевець,"площа Соні Делоне, буд. 243 кв. 85, Хуст, 09020",+380 40 092-86-06,tsamoilenko@example.net
Байда,Вікторія,Павлівна,Жіноча,05-04-1992,Парфюмер,хутір Сквира,"вулиця Симфонічна, буд. 27 кв. 11, Шахтарськ, 34802",+380 84 309-67-54,iaroshamaliia@example.com
Швайка,Ірена,Юріївна,Жіноча,18-01-1943,Водій,хутір Хрестівка,"вулиця Курортний 6-й, буд. 5 кв. 14, Дружківка, 17710",066 190 54 10,mskyrda@example.net
Чекалюк,Роксолана,Миколаївна,Жіноча,28-07-2009,Співак,місто Новоазовськ,"парк Лінійна, буд. 215, Новоград-Волинський, 57461",+380 (69) 304-89-58,hanna03@example.org
Вітрук,Пріска,Степанівна,Жіноча,20-12-2001,Науковець,місто Кодима,"вулиця Павла Чубинського, буд. 5, Ясинувата, 14131",873 63 46,pbaturynets@example.com
Якимчук,Азар,Іванович,Чоловіча,10-01-1994,Кур'єр,хутір Нововолинськ,"шосе Селекційний, буд. 35 кв. 094, Сіверськ, 27989",688-39-33,orest05@example.net
Фаренюк,Єва,Степанівна,Жіноча,07-10-1991,Менеджер,село Пирятин,"вулиця Садиковська, буд. 64, Ржищів, 24846",+380 43 400-34-55,ytykha@example.com
Гресь,Сергій,Миколайович,Чоловіча,29-05-1985,Локсмайстер,місто Теребовля,"вулиця Проектна 1-ша, буд. 63 кв. 6, Харків, 68952",078 540 93 10,vladyslav91@example.org
Демʼянчук,Валерій,Степанович,Чоловіча,23-12-1967,Педагог,місто Соснівка,"площа Героїв Крут, буд. 768 кв. 90, Бібрка, 70158",633 20 35,astets@example.org
Ребрик,Костянтин,Олегович,Чоловіча,10-06-1987,Редактор,місто Тиврів,"набережна Дніпропетровська дорога, буд. 75, Сокологірськ, 10763",645 65 40,vasylashkoaaron@example.net
Баклан,Роксолана,Борисівна,Жіноча,28-04-1960,Ґрунтознавець,місто Малин,"сквер Генерала Алмазова, буд. 5 кв. 34, Носівка, 63203",+380 (77) 741-00-86,allaoberemko@example.net
Аврамчук,Демид,Сергійович,Чоловіча,01-06-2007,Льотчик,селище Малин,"площа Аеродромний 3-й, буд. 4 кв. 028, Південне, 58667",+380 21 184-58-64,ielyseikorpaniuk@example.org
Ковпак,Людмила,Іванівна,Жіноча,08-08-2009,Пілот,місто Підгайці,"сквер Котляревського, буд. 20, Стрий, 80074",075 286-76-35,rubetsalevtyn@example.com
Башполченко,Геннадій,Петрович,Чоловіча,04-08-1967,Локсмайстер,місто Долинська,"узвіз Аеропортівський 3-й, буд. 46 кв. 19, Обухів, 41194",+380 (53) 849-23-34,sviatoslav69@example.com
Шиян,Амвросій,Миколайович,Чоловіча,18-08-2001,Науковець,село Моспине,"вулиця Донорська, буд. 200 кв. 336, Гірник, 46526",353-61-35,leon70@example.net
Самойленко,Франц,Євгенович,Чоловіча,28-01-2007,Державний службовець,селище Керч,"сквер Ніщинського Композитора, буд. 40 кв. 33, Сіверськодонецьк, 17120",302 87 76,mamchursemen@example.com
Ірванець,Одарка,Миколаївна,Жіноча,24-01-2007,Гірник,село Болград,"парк Окружна, буд. 95, Сватове, 29678",022 624-36-35,bvysochan@example.net
Колісниченко,Пилип,Максимович,Чоловіча,21-08-1943,Адвокат,селище Лебедин,"проспект Степана Олійника узвіз, буд. 124, Миронівка, 57936",067 735-66-42,solomontsymbal@example.com
Гуцуляк,Симон,Степанович,Чоловіча,30-09-1953,Електротехнік,селище Жовква,"проспект Творча, буд. 5, Березне, 57974",+380 65 480 90 17,zlatoslava98@example.net
Петренко,Лариса,Дмитрівна,Жіноча,28-04-1949,Художник,село Єнакієве,"узвіз Зернова, буд. 727 кв. 08, Ланівці, 87924",072 431-68-59,danylo54@example.com
Полтавець,Федір,Михайлович,Чоловіча,10-02-1951,Науковець,місто Сміла,"провулок Хаджибейський 2-й, буд. 754 кв. 593, Моршин, 61260",567-71-63,illia88@example.org
Бандура,Ігор,Олегович,Чоловіча,14-05-1998,Золотар,селище Лисичанськ,"набережна 1-ша Лінія Марії Демченко, буд. 69 кв. 0, Золоте, 99543",212 25 01,anita54@example.org
Прокопович,Варфоломій,Андрійович,Чоловіча,09-05-1989,Економіст,селище Новогродівка,"площа Ананьївська, буд. 648 кв. 215, Соснівка, 12820",+380 81 356 51 21,alevtyn97@example.net
Сагаль,Болеслав,Тарасович,Чоловіча,03-12-1996,Піаніст,хутір Мала Виска,"узвіз Юрія Коваленка, буд. 53, Перевальськ, 66993",008 415 21 24,artemenkotymofii@example.net
Ватаманюк,Давид,Максимович,Чоловіча,30-10-1978,Каскадер,місто Новодружеськ,"провулок Затишна, буд. 9 кв. 99, Полтава, 84309",+380 (07) 351-24-72,talanoleksa@example.com
Баран,Вікторія,Іванівна,Жіноча,18-06-2008,Геофізик,селище Ніжин,"узвіз Проїзний 2-й, буд. 2 кв. 90, Чортків, 31099",+380 05 949-57-09,khrystyna56@example.org
Онуфрієнко,Марія,Іванівна,Жіноча,15-10-1977,Гінеколог,селище Радомишль,"парк Тещин міст, буд. 061, Новоукраїнка, 76456",+380 36 994-00-10,volodymyr05@example.com
Рубан,Наталія,Юріївна,Жіноча,09-12-2003,Музичний редактор,село Снятин,"сквер Миколи Огренича, буд. 3 кв. 9, Новий Розділ, 84165",054 158 16 96,svystunmarusia@example.net
Саєнко,Амвросій,Тарасович,Чоловіча,09-02-1977,Етнограф,село Селидове,"проспект Дубовий гай, буд. 17, Перевальськ, 51292",+380 06 866-85-85,babarychenkoherman@example.com
Василашко,Онисим,Петрович,Чоловіча,01-11-1950,Вчитель,село Радивилів,"сквер Суднобудівна, буд. 492 кв. 006, Боярка, 48176",059 653-92-92,pkorbut@example.org
Ящук,Ростислав,Михайлович,Чоловіча,29-01-1940,Гірник,місто Скадовськ,"вулиця Новаторів, буд. 436 кв. 4, Кальміуське, 26131",008 884-00-49,dziubadan@example.com
Андріїшин,Олесь,Іванович,Чоловіча,13-06-2003,Кінокритик,хутір Старокостянтинів,"набережна Ігоря Ветрогонова, буд. 674, Іллінці, 67680",871-28-75,stanislav47@example.com
Вівчаренко,Олена,Дмитрівна,Жіноча,10-09-2009,Кінолог,селище Ізюм,"сквер Бітумна, буд. 911, Дубно, 14477",+380 68 533 27 97,ciakovenko@example.com
Перепелиця,Богодар,Володимирович,Чоловіча,25-10-2004,Кінокритик,село Ладижин,"проспект Каштанова, буд. 0 кв. 971, Прилуки, 14194",798 32 81,hlibverkhovynets@example.com
Нестайко,Спас,Андрійович,Чоловіча,25-04-1945,Біолог,селище Пустомити,"узвіз Євгена Крамаренка, буд. 5 кв. 73, Чорнобиль, 76939",+380 76 205-15-76,tkachnataliia@example.com
Бабʼюк,Христина,Дмитрівна,Жіноча,17-06-1945,Журналіст,селище Долинська,"узвіз Деревообробний 3-й, буд. 0 кв. 848, Брянка, 03656",+380 86 338 32 72,eduard98@example.net
Саєнко,Онисим,Миколайович,Чоловіча,27-05-1992,Режисер,селище Бердянськ,"набережна Климовича, буд. 710 кв. 4, Херсон, 63217",262-61-85,baranetsamaliia@example.net
Бандура,Руслан,Борисович,Чоловіча,12-03-2002,Дизайнер,селище Галич,"вулиця Юрія Єгорова, буд. 1 кв. 73, Таврійськ, 57026",015 725 12 24,psymonenko@example.net
Демʼяненко,Амвросій,Андрійович,Чоловіча,17-07-1997,Архітектор,місто Бучач,"узвіз Агрономічна, буд. 934, Бобринець, 48587",+380 58 027-81-71,shabliivalentyn@example.org
Франко,Валентина,Володимирівна,Жіноча,23-08-1966,Конструктор,селище Боярка,"набережна Бузковий 1-й, буд. 234 кв. 30, Волочиськ, 59635",+380 (84) 325-72-63,qdankevych@example.net
Запорожець,Роман,Миколайович,Чоловіча,23-01-1955,Електротехнік,місто Енергодар,"узвіз Олександра Станкова, буд. 072, Мирноград, 68539",+380 (01) 890-00-13,iashchuksemen@example.net
Алексійчук,Олег,Іванович,Чоловіча,07-08-1983,Геолог,місто Сіверськ,"проспект Артилерійський 2-й, буд. 19 кв. 4, Перещепине, 19224",072 25 43,okhrimkorsun@example.com
Артим,Мілена,Максимівна,Жіноча,22-06-1997,Стиліст,місто Василівка,"набережна Евлії Челебі, буд. 896, Пирятин, 11333",+380 97 257-77-92,wbashtan@example.com
Батуринець,Єлисавета,Миколаївна,Жіноча,10-12-2008,Модельєр,місто Богуслав,"вулиця Астрономічний, буд. 3 кв. 878, Токмак, 41332",084 590 74 54,amaliia82@example.org
Вакуленко,Андрій,Павлович,Чоловіча,29-04-1989,Клоун,селище Шумськ,"вулиця Остапа Вишні, буд. 1 кв. 6, Рудки, 19072",+380 42 739-45-71,orkhypcherinko@example.net
Колісниченко,Євген,Тарасович,Чоловіча,27-11-1983,Акушер,хутір Хутір-Михайлівський,"шосе Цимлянська, буд. 2, Верхньодніпровськ, 59364",405-26-19,vira98@example.com
Вергун,Франц,Олегович,Чоловіча,21-08-1983,Мірошник,селище Зеленодольськ,"шосе Тупиковий 1-й, буд. 0 кв. 3, Берестин, 96314",+380 48 939 42 04,hupalozorian@example.org
Удовенко,Віктор,Миколайович,Чоловіча,23-12-2005,Кур'єр,місто Іллінці,"парк Садова 6-та, буд. 7, Ржищів, 55696",062 992 78 72,bohdannahaidenko@example.com
Данильчук,Віолетта,Петрівна,Жіноча,18-04-1989,Стоматолог,хутір Новгород-Сіверський,"вулиця Ткачова, буд. 1 кв. 039, Лозова, 33759",+380 21 656 37 35,alina28@example.com
Корж,Макар,Петрович,Чоловіча,15-04-1995,Музикант,селище Ланівці,"набережна Восьмого березня 6-й, буд. 637, Кодима, 52653",255 60 56,zharkoleontii@example.com
Андрусенко,Валентин,Степанович,Чоловіча,25-05-1953,Головний меркшейдер,хутір Зоринськ,"парк Березовий, буд. 458, Скадовськ, 52590",050 397 76 79,arsen20@example.org
Рябець,Володимира,Юріївна,Жіноча,04-08-1974,Хореограф,село Чистякове,"шосе Юхима Фесенка, буд. 133 кв. 1, Долина, 10973",089 695-49-83,danylo02@example.org
Ющенко,Вадим,Степанович,Чоловіча,23-05-1981,Сантехнік,місто Нікополь,"узвіз Аркаса Миколи, буд. 83, Знам'янка, 60570",+380 (01) 321-53-91,olenavakarchuk@example.com
Бабич,Петро,Дмитрович,Чоловіча,01-01-1998,Електромонтажник,село Тлумач,"набережна Дачний, буд. 898, Турка, 09337",+380 (15) 738-72-03,zakusylonestor@example.com
Ющенко,Аніта,Юріївна,Жіноча,21-08-1983,Парфюмер,хутір Запоріжжя,"парк Стороженка Олега, буд. 6 кв. 212, Шпола, 67243",+380 82 285-41-07,fkhudiak@example.com
Аверченко,Богдан,Петрович,Чоловіча,20-12-1967,Антрополог,селище Герца,"шосе Весела, буд. 10, Чоп, 83453",+380 36 457-18-90,oleksa73@example.com
Дашкевич,Михайлина,Олегівна,Жіноча,04-12-1987,Водій,село Алушта,"провулок Толвінського, буд. 29 кв. 07, Білицьке, 17146",+380 (84) 970-69-24,ustym27@example.org
Гаврилець,Соломія,Сергіївна,Жіноча,28-02-1940,М'ясник,село Яворів,"вулиця Успенський, буд. 10, Сімферополь, 67051",+380 24 247-54-65,iustymlaba@example.org
Данильчук,Давид,Павлович,Чоловіча,18-04-1979,Дантист,селище Рава-Руська,"вулиця Морехідна, буд. 4, Керч, 26778",026 768 05 37,liliia83@example.net
Оліфіренко,Віталій,Іванович,Чоловіча,02-11-2007,Локсмайстер,село Новоград-Волинський,"проспект Красний, буд. 791 кв. 4, Краматорськ, 22073",057 493-94-03,gkomar@example.com
Рудик,Феофан,Юрійович,Чоловіча,17-01-1963,Клоун,місто Павлоград,"сквер Азовський, буд. 51 кв. 8, Арциз, 21419",+380 63 837-51-23,roman32@example.org
Радченко,Ігнат,Тарасович,Чоловіча,27-10-1978,Пілот,хутір Надвірна,"набережна Аеропортівський 4-й, буд. 600, Здолбунів, 63637",+380 (93) 174-45-12,iaremkopylyp@example.org
Шило,Григорій,Володимирович,Чоловіча,04-01-1994,Публіцист,місто Носівка,"проспект Центральна, буд. 38 кв. 41, Зугрес, 15715",270-44-46,qkorbut@example.net
Парасюк,Йосип,Володимирович,Чоловіча,21-03-1965,Гірник,село Буча,"набережна Олешківська, буд. 0 кв. 19, Рава-Руська, 97441",+380 29 165-95-54,liudmylahupalo@example.com
Чаленко,Лариса,Миколаївна,Жіноча,29-05-1953,Драматург,місто Дружківка,"провулок узвіз Віталія Блажка, буд. 71 кв. 3, Алчевськ, 14732",064 284 25 52,tereza53@example.org
Вернигора,Мартин,Іванович,Чоловіча,16-04-2009,Агроном,хутір Карлівка,"вулиця Полуничний, буд. 3, Часів Яр, 61425",+380 01 840-69-41,uovsiienko@example.com
Гаврюшенко,Миколай,Євгенович,Чоловіча,15-12-1983,Кінорежисер,селище Добромиль,"провулок Галини Могильницької, буд. 6 кв. 22, Самар, 09789",202 35 77,alinashtepa@example.org
Сагаль,Ольга,Михайлівна,Жіноча,27-05-1993,Біолог,хутір Нетішин,"провулок Лінія 27-ма, буд. 317 кв. 28, Теребовля, 49490",+380 76 426-57-12,mykolailevchenko@example.net
Заєць,Еріка,Іванівна,Жіноча,06-09-1988,Продюсер,селище Бар,"шосе Заводська 5-та, буд. 1 кв. 987, Подільськ, 71158",837-05-73,ravramchuk@example.net
Матяш,Остап,Олегович,Чоловіча,01-01-1969,Лікар,село Кипуче,"парк Інглезі, буд. 847 кв. 2, Обухів, 42955",682 70 42,demyddeineka@example.net
Гавриш,Ада,Василівна,Жіноча,09-01-1944,Круп'є,селище Старий Крим,"набережна Головна, буд. 9 кв. 217, Маріуполь, 31246",991 78 07,xopanasenko@example.org
Скоробогатько,Данило,Васильович,Чоловіча,01-08-2005,Випробувач,місто Надвірна,"набережна Радісна, буд. 94, Сокиряни, 84330",+380 89 630-81-35,oryna63@example.org
Іващенко,Юстина,Олександрівна,Жіноча,03-05-1988,Льотчик,селище Вижниця,"парк Макова, буд. 7, Борщів, 36965",243-10-18,bbatih@example.org
Гавриш,Кирило,Григорович,Чоловіча,28-07-1985,Епідеміолог,село Володимир-Волинський,"набережна Лазурського, буд. 210 кв. 340, Новояворівськ, 29687",+380 74 609 30 07,cvyshniak@example.com
Ребрик,Іван,Григорович,Чоловіча,13-11-1969,Каскадер,селище Миколаївка,"сквер Діхтієвського Віктора, буд. 54 кв. 648, Бобринець, 81151",652 44 31,hermanfilipenko@example.org
Шведченко,Данна,Петрівна,Жіноча,28-01-1965,Бібліотекар,село Канів,"набережна Лінійна, буд. 16 кв. 79, Судова Вишня, 18794",+380 (82) 001-52-50,boleslavfareniuk@example.com
Макаренко,Анастасія,Романівна,Жіноча,18-11-1968,Скульптор,село Зугрес,"шосе Майка Йогансена, буд. 45, Брянка, 97344",+380 38 075-75-09,ibakumenko@example.net
Фурс,Дарина,Миколаївна,Жіноча,31-07-1976,Складальник,село Калуш,"шосе Цебриківська, буд. 9 кв. 3, Нетішин, 31258",+380 (35) 812-07-30,okhrymovychdaryna@example.net
Щорс,Камілла,Максимівна,Жіноча,22-11-1965,Складальник,хутір Кипуче,"парк Нафтовиків 2-й, буд. 61, Лисичанськ, 82129",+380 51 725-34-22,solomon04@example.org
Авдєєнко,Макар,Андрійович,Чоловіча,09-07-1953,Стиліст,хутір Долинська,"вулиця Зелена гірка, буд. 358, Хирів, 61077",+380 01 058-80-14,leonid62@example.com
Єременко,Леопольд,Максимович,Чоловіча,13-04-1942,Композитор,село Нова Каховка,"площа Проїзний 2-й, буд. 69, Вознесенівка, 81258",+380 45 105-17-41,baranetsroman@example.net
Симоненко,Данна,Дмитрівна,Жіноча,27-01-1983,Бібліограф,місто Роздільна,"шосе Радісний, буд. 0 кв. 3, Алушта, 29366",139-28-30,halyna26@example.com
Романець,Наталія,Романівна,Жіноча,07-09-1954,Мовознавець,селище Добромиль,"сквер Окружна, буд. 14 кв. 4, Суми, 56135",063 95 41,xvdovychenko@example.net
Бабій,Марія,Григорівна,Жіноча,13-08-1965,Флорист,хутір Арциз,"площа Рульовий, буд. 483, Амвросіївка, 88967",+380 (24) 166-47-10,vanchenkooles@example.org
